video,frame,animal_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,prev_x,prev_y,movement,behaviour,welfare_alert
rhino_and_baby,0,1,rhino,0.9355041980743408,675.02197265625,547.148681640625,1010.1366577148438,724.158935546875,842.5793151855469,635.65380859375,,,0.0,resting,Low Activity
zabras,0,1,zebra,0.9332350492477417,458.7926940917969,429.535400390625,984.201904296875,855.9080810546875,721.4972991943359,642.7217407226562,842.5793151855469,635.65380859375,121.28812910204645,running,Normal
rhino_and_baby,1,1,rhino,0.9422920346260071,675.102294921875,548.23876953125,1011.3294067382812,724.8385620117188,843.2158508300781,636.5386657714844,721.4972991943359,642.7217407226562,121.87549478116857,running,Normal
zabras,1,1,zebra,0.9241405129432678,469.4408874511719,429.8150634765625,977.5272216796875,856.6492919921875,723.4840545654297,643.232177734375,843.2158508300781,636.5386657714844,119.9187480720035,running,Normal
rhino_and_baby,2,1,rhino,0.9437009692192078,673.6273803710938,548.7347412109375,1009.4701538085938,724.7803344726562,841.5487670898438,636.7575378417969,723.4840545654297,643.232177734375,118.24211307825608,running,Normal
elephants,2,1,elephant,0.9424386620521545,881.4312133789062,412.6406555175781,1154.827880859375,747.1083984375,1018.1295471191406,579.8745269775391,841.5487670898438,636.7575378417969,185.516707605375,running,Normal
zabras,2,1,zebra,0.9218366146087646,465.7302551269531,429.61773681640625,978.0337524414062,853.9419555664062,721.8820037841797,641.7798461914062,1018.1295471191406,579.8745269775391,302.64645294298487,running,Normal
rhino_and_baby,3,1,rhino,0.9454658627510071,672.4378051757812,547.2796630859375,1006.3837890625,723.8095703125,839.4107971191406,635.5446166992188,721.8820037841797,641.7798461914062,117.69407525271696,running,Normal
elephants,3,1,elephant,0.9414139986038208,880.7655029296875,414.0988464355469,1154.6669921875,746.7816772460938,1017.7162475585938,580.4402618408203,839.4107971191406,635.5446166992188,186.6261599582882,running,Normal
zabras,3,1,zebra,0.9351426959037781,459.4036560058594,431.3843078613281,976.8619995117188,855.9947509765625,718.1328277587891,643.6895294189453,1017.7162475585938,580.4402618408203,306.1873532138701,running,Normal
rhino_and_baby,4,1,rhino,0.9453270435333252,671.353515625,545.095458984375,994.154296875,721.14404296875,832.75390625,633.1197509765625,718.1328277587891,643.6895294189453,115.1073926853067,running,Normal
elephants,4,1,elephant,0.9377195239067078,881.8826293945312,408.9317932128906,1157.312255859375,750.740966796875,1019.5974426269531,579.8363800048828,832.75390625,633.1197509765625,194.2926264888903,running,Normal
zabras,4,1,zebra,0.9364842176437378,452.6999206542969,433.0863952636719,974.1436767578125,856.0280151367188,713.4217987060547,644.5572052001953,1019.5974426269531,579.8363800048828,312.94138451847334,running,Normal
rhino_and_baby,5,1,rhino,0.9499525427818298,670.530029296875,543.7264404296875,984.1654052734375,719.9437866210938,827.3477172851562,631.8351135253906,713.4217987060547,644.5572052001953,114.63405489065723,running,Normal
elephants,5,1,elephant,0.9424124360084534,882.1492309570312,407.51080322265625,1157.942626953125,751.8095703125,1020.0459289550781,579.6601867675781,827.3477172851562,631.8351135253906,199.63672949377104,running,Normal
zabras,5,1,zebra,0.9367719292640686,452.0564270019531,433.57867431640625,973.1114501953125,856.2570190429688,712.5839385986328,644.9178466796875,1020.0459289550781,579.6601867675781,314.3110524482895,running,Normal
rhino_and_baby,6,1,rhino,0.9441491961479187,670.0328979492188,542.6594848632812,972.0880126953125,720.2197875976562,821.0604553222656,631.4396362304688,712.5839385986328,644.9178466796875,109.31064375167689,running,Normal
elephants,6,1,elephant,0.932418167591095,880.7681274414062,410.0853271484375,1156.5379638671875,748.8186645507812,1018.6530456542969,579.4519958496094,821.0604553222656,631.4396362304688,204.3172692321711,running,Normal
zabras,6,1,zebra,0.932728111743927,447.85601806640625,424.2890625,966.0438842773438,855.3833618164062,706.949951171875,639.8362121582031,1018.6530456542969,579.4519958496094,317.4981459617058,running,Normal
rhino_and_baby,7,1,rhino,0.9321147799491882,669.653564453125,540.8721313476562,964.3082275390625,719.4666748046875,816.9808959960938,630.1694030761719,706.949951171875,639.8362121582031,110.45476909911456,running,Normal
elephants,7,1,elephant,0.9346661567687988,880.7301635742188,410.01947021484375,1157.1822509765625,748.1956176757812,1018.9562072753906,579.1075439453125,816.9808959960938,630.1694030761719,208.32988221632678,running,Normal
zabras,7,1,zebra,0.9192754030227661,443.2421875,400.4008483886719,974.6364135742188,853.7379150390625,708.9393005371094,627.0693817138672,1018.9562072753906,579.1075439453125,313.704989354185,running,Normal
rhino_and_baby,8,1,rhino,0.9288581609725952,668.0660400390625,538.680419921875,956.8985595703125,719.9840087890625,812.4822998046875,629.3322143554688,708.9393005371094,627.0693817138672,103.56772233128225,running,Normal
elephants,8,1,elephant,0.9369243383407593,881.0625,409.772705078125,1157.4527587890625,747.9423217773438,1019.2576293945312,578.8575134277344,812.4822998046875,629.3322143554688,212.84673443755895,running,Normal
zabras,8,1,zebra,0.9219109416007996,438.2941589355469,393.3966979980469,964.8247680664062,853.005859375,701.5594635009766,623.2012786865234,1019.2576293945312,578.8575134277344,320.7779514390838,running,Normal
rhino_and_baby,9,1,rhino,0.9083016514778137,665.088623046875,537.0250244140625,955.7639770507812,717.3421020507812,810.4263000488281,627.1835632324219,701.5594635009766,623.2012786865234,108.93964700760293,running,Normal
elephants,9,1,elephant,0.940014123916626,880.658447265625,408.4195251464844,1157.6082763671875,748.6072998046875,1019.1333618164062,578.5134124755859,810.4263000488281,627.1835632324219,214.306838916421,running,Normal
zabras,9,1,zebra,0.9276363253593445,431.5772705078125,417.8656005859375,957.9136352539062,852.2716674804688,694.7454528808594,635.0686340332031,1019.1333618164062,578.5134124755859,329.28104796512025,running,Normal
rhino_and_baby,10,1,rhino,0.9130231142044067,659.9053344726562,534.8777465820312,953.5879516601562,715.35302734375,806.7466430664062,625.1153869628906,694.7454528808594,635.0686340332031,112.44257970280532,running,Normal
elephants,10,1,elephant,0.9424776434898376,879.2346801757812,407.9316711425781,1157.6749267578125,748.7908325195312,1018.4548034667969,578.3612518310547,806.7466430664062,625.1153869628906,216.80935019515073,running,Normal
zabras,10,1,zebra,0.9279412031173706,428.3739013671875,427.2406921386719,953.5012817382812,853.3848876953125,690.9375915527344,640.3127899169922,1018.4548034667969,578.3612518310547,333.32494231781436,running,Normal
rhino_and_baby,11,1,rhino,0.9109168648719788,656.2254638671875,534.5935668945312,953.9804077148438,713.3475341796875,805.1029357910156,623.9705505371094,690.9375915527344,640.3127899169922,115.32907097950044,running,Normal
elephants,11,1,elephant,0.9492345452308655,877.3018188476562,407.8725280761719,1160.662109375,749.0841064453125,1018.9819641113281,578.4783172607422,805.1029357910156,623.9705505371094,218.66362761948417,running,Normal
zabras,11,1,zebra,0.9275674223899841,428.8756408691406,430.7934875488281,953.2047119140625,853.5256958007812,691.0401763916016,642.1595916748047,1018.9819641113281,578.4783172607422,334.06753934468003,running,Normal
rhino_and_baby,12,1,rhino,0.9083415865898132,653.9813842773438,534.9188232421875,959.6526489257812,713.10693359375,806.8170166015625,624.0128784179688,691.0401763916016,642.1595916748047,117.19035767087945,running,Normal
elephants,12,1,elephant,0.9505177140235901,874.8550415039062,408.3983459472656,1157.92626953125,749.0935668945312,1016.3906555175781,578.7459564208984,806.8170166015625,624.0128784179688,214.4066331893427,running,Normal
zabras,12,1,zebra,0.9268255233764648,425.8857727050781,432.40167236328125,950.6735229492188,853.72314453125,688.2796478271484,643.0624084472656,1016.3906555175781,578.7459564208984,334.35525922121997,running,Normal
rhino_and_baby,13,1,rhino,0.9154808521270752,651.4178466796875,534.1724853515625,959.8997802734375,713.8349609375,805.6588134765625,624.0037231445312,688.2796478271484,643.0624084472656,118.9163656273654,running,Normal
elephants,13,1,elephant,0.9496274590492249,873.8838500976562,408.290771484375,1162.328857421875,749.5928344726562,1018.1063537597656,578.9418029785156,805.6588134765625,624.0037231445312,217.17397178628838,running,Normal
zabras,13,1,zebra,0.9257485866546631,423.8955993652344,432.709228515625,946.8222045898438,853.5348510742188,685.3589019775391,643.1220397949219,1018.1063537597656,578.9418029785156,338.8804648624278,running,Normal
rhino_and_baby,14,1,rhino,0.9119162559509277,649.02294921875,534.1997680664062,959.2113037109375,713.768310546875,804.1171264648438,623.9840393066406,685.3589019775391,643.1220397949219,120.29039423855302,running,Normal
elephants,14,1,elephant,0.9492227435112,873.6555786132812,408.2413024902344,1163.74462890625,749.7711791992188,1018.7001037597656,579.0062408447266,804.1171264648438,623.9840393066406,219.24610942781518,running,Normal
zabras,14,1,zebra,0.9266647696495056,421.15960693359375,432.65936279296875,943.0634155273438,852.69482421875,682.1115112304688,642.6770935058594,1018.7001037597656,579.0062408447266,342.5578171629553,running,Normal
rhino_and_baby,15,1,rhino,0.9149615168571472,647.3814697265625,533.795166015625,957.6575317382812,713.7775268554688,802.5195007324219,623.7863464355469,682.1115112304688,642.6770935058594,121.88086092892918,running,Normal
elephants,15,1,elephant,0.9470924139022827,873.0187377929688,408.98199462890625,1166.532470703125,749.7936401367188,1019.7756042480469,579.3878173828125,802.5195007324219,623.7863464355469,221.7463503574263,running,Normal
zabras,15,1,zebra,0.926533579826355,418.21044921875,432.33795166015625,939.1817016601562,851.009765625,678.6960754394531,641.6738586425781,1019.7756042480469,579.3878173828125,346.72005408990344,running,Normal
rhino_and_baby,16,1,rhino,0.9105350375175476,646.86962890625,534.3041381835938,952.8990478515625,713.217529296875,799.8843383789062,623.7608337402344,678.6960754394531,641.6738586425781,122.50498575745404,running,Normal
elephants,16,1,elephant,0.9512383937835693,872.7520141601562,409.2785949707031,1166.2679443359375,749.3195190429688,1019.5099792480469,579.2990570068359,799.8843383789062,623.7608337402344,224.08094902840648,running,Normal
zabras,16,1,zebra,0.9224820733070374,397.8806457519531,430.93963623046875,932.84716796875,850.7510375976562,665.3639068603516,640.8453369140625,1019.5099792480469,579.2990570068359,359.4542879950793,running,Normal
rhino_and_baby,17,1,rhino,0.931679368019104,646.13427734375,534.60693359375,944.36962890625,712.6572265625,795.251953125,623.632080078125,665.3639068603516,640.8453369140625,131.02366493632897,running,Normal
elephants,17,1,elephant,0.9519283771514893,872.1344604492188,409.3362731933594,1168.4564208984375,748.9884643554688,1020.2954406738281,579.1623687744141,795.251953125,623.632080078125,229.39513183931118,running,Normal
zabras,17,1,zebra,0.9226993918418884,391.5707092285156,430.494873046875,932.0435180664062,850.70361328125,661.8071136474609,640.5992431640625,1020.2954406738281,579.1623687744141,363.71468233896337,running,Normal
rhino_and_baby,18,1,rhino,0.9339877367019653,645.075439453125,534.1582641601562,937.7823486328125,712.4773559570312,791.4288940429688,623.3178100585938,661.8071136474609,640.5992431640625,130.76870376003598,running,Normal
elephants,18,1,elephant,0.946108341217041,871.2200317382812,409.6033935546875,1170.1785888671875,748.9551391601562,1020.6993103027344,579.2792663574219,791.4288940429688,623.3178100585938,233.46159663474896,running,Normal
zabras,18,1,zebra,0.9231136441230774,349.67034912109375,429.43328857421875,928.2728271484375,851.7296142578125,638.9715881347656,640.5814514160156,1020.6993103027344,579.2792663574219,386.61869039727503,running,Normal
rhino_and_baby,19,1,rhino,0.9400544762611389,639.3184204101562,531.541015625,935.5219116210938,712.028076171875,787.420166015625,621.7845458984375,638.9715881347656,640.5814514160156,149.63389967479404,running,Normal
elephants,19,1,elephant,0.9410173892974854,870.9138793945312,409.3888854980469,1170.7296142578125,749.167236328125,1020.8217468261719,579.2780609130859,787.420166015625,621.7845458984375,237.24059347142125,running,Normal
